Hook Type,Idea,WHY,Link (example),video_link
Skill Challenge,Only 3% can win this.,Invokes pride and curiosity,,https://ilans.org/sett_videos/anna0.mp4
"Fake Tutorial, Curiosity",How NOT to play this game,Unexpected + funny + teaches something,,https://ilans.org/sett_videos/placer2.mp4
Tension Building,Timer ticking down with “Will she make it?”,Urgency,,https://ilans.org/sett_videos/anna0.mp4
Visual weirdness,"""Breaking News"" style with 2D animated characters",Visually disruptive + absurd = scroll-stopper,Tiki News,https://ilans.org/sett_videos/STPV1756.mp4
Interactive Drama,"""Warning, sensitive content"" with blurred background",Visually disruptive + absurd = scroll-stopper | Insiting curiosity ,,https://ilans.org/sett_videos/anna0.mp4
Interactive Drama,Countdown to a discount or an event,Fomo,,
Fail Moments,Flashforward fail - Can you do better? - Rewind to the beginning,Fail + Challenge - what was so difficult about it?,,https://ilans.org/sett_videos/anna0.mp4
Visual weirdness,Fake game or phone update,Provocations for clicks,,
Interactive Drama,"""Help her"" or ""Leave her"" Choise buttons",Viewer decision engagment ,,https://ilans.org/sett_videos/anna0.mp4
Tension Building,"Person (or something) on top of the building (anything), balancing on one leg finger barely falling",Make u stop scrolling becase of feeling Anxiety,,
Visual weirdness,"Double swiping, fake aditional swiping.",Visual bag may made people swipe back and maybe stuck on this ad.,,https://ilans.org/sett_videos/anna0.mp4
Interactive Drama,Starting in the middle of the story,"The video starts in the middle of the story, which forces the
viewer to get what's going on fast (deep dive intro the concept)",https://drive.google.com/file/d/17upYRfICtSUZQ48dpgp3eK2kQdLhvo3W/view?usp=drive_link,
Visual weirdness,Starting the video using ASMR video,"Visually satisfying, calming, and curiosity-triggering experiences that offer a sense of control and stress relief.",,https://ilans.org/sett_videos/anna0.mp4
Social Connection,UGC feedback hook,"create instant authenticity, build trust, and feel relatable",https://www.youtube.com/shorts/rvWg5ecZciE,
Visual weirdness,using scenes from movies and media advertisements to set the theme and story,use the surrounding trend outside of mobile games which gives the process an unusual feel,https://drive.google.com/file/d/1FL1JYBvL5Fje2liNve6JNIzxzFtSMqh-/view?usp=sharing,https://ilans.org/sett_videos/anna0.mp4
Transformation,show this game in a different time slot (1930-2000),evoke nostalgia,https://drive.google.com/file/d/1XEsQth1kAsU4USUhdslTVk2dDnY_7KrY/view?usp=drive_link,
Tension Building,"“You blink, you miss it.”",This “pattern break” grabs attention.,,https://ilans.org/sett_videos/anna0.mp4
Skill Challenge,“This level is impossible…”,makes people want to try it for themself,,
Transformation,"“Over 50,000 users already upgraded—new version out now!”", Social Proof Hook - FOMO and community,,https://ilans.org/sett_videos/anna0.mp4
Transformation,I've started as a poor lemonade stand owner. And now I grew up to my own food empire,Shows progression from 0 to the top,,
Visual weirdness,Cinematic UGC with sharp transition to the intruduction game,evokes curiosity and engagement,,https://ilans.org/sett_videos/anna0.mp4
,Exclusive 3-Day Access — Play Before Everyone Else!,"Urgency, exclusivity, fomo",,
Interactive Drama,"Opening (cute) character VO says ""I'm trapped! Please, hurry! I need your help!""",Creates emotional connection with the character and urgency to start playing,,https://ilans.org/sett_videos/anna0.mp4
Skill Challenge,Only legends clear this in 5 seconds!,Taps into pride and competitive spirit.,,
Interactive Drama,Save her… or let her fall?,Emotional engagement + decision-making,,https://ilans.org/sett_videos/anna0.mp4
Fake Tutorial,Whatever you do… DON’T press this button,Urgency + suspense = thumb-stopping moment,,
"Skill Challenge, Tension Building","This game actually pays you to play. No, seriously.","Disrupts expectations, invites immediate investigation",,https://ilans.org/sett_videos/anna0.mp4
Skill Challenge,Spin. Win. Redeem in real life.,"Short, rhythmic, and delivers the payoff clearly",,
Visual weirdness,"Humanize game elements, add emotions","Creates additional level to the game, ""behind the scene""",https://www.youtube.com/shorts/buVTBPCgExY,https://ilans.org/sett_videos/anna0.mp4
Tension Building,"Today only: ""Country name"" players get a bonus!",,,
Visual weirdness,Making the characters look different and engaging in the intro,It gives the players more curiousity for the video ad and how the game works,,https://ilans.org/sett_videos/anna0.mp4
,You'we awakened the guardian.. Can you conquer it?,"Does not immerse you in the process right away, but uses dramatic effect to grab your attention.",https://drive.google.com/drive/folders/10qYtG2ElOCt0OaKEHYeBJY7dwzQuBAsO,
Skill Challenge,You have 5 seconds to survive… Go!,It grabs attention fast because people instinctively want to know what happens in 5 seconds?,,https://ilans.org/sett_videos/anna0.mp4
"Fail Moments, Fake Tutorial, Visual weirdness",Player  picks the worst option... every single time.,"Viewers often think, “I could do better!”, which encourages them to download and try the game themselves.",,
Fail Moments,"The player brings the puzzle to a dead end, after which it is regenerated, delaying the time for the solution.","Perhaps a better solution was visible from the very beginning, but after that it is too late to solve the problem in time.",,https://ilans.org/sett_videos/anna0.mp4
"Interactive Drama, Transformation","Show big danger approaching player, lot of visual effects, slow motion, tense music ","encourage viewer to get hooked on the current situation, how everything will play out in the end",,
"Fake Tutorial, Fail Moments",“Wait… that’s not how you’re supposed to do it!”,step-by-step tutorial with a surprising fail ending. Then tease the correct solution briefly. Encourage the viewer to think: “Would you do it better?”,,https://ilans.org/sett_videos/anna0.mp4
"Interactive Drama, Visual weirdness","choice based gameplay with one good and one really bad but weird option, the player either intentionally picks the bad optionor has to",funny and weird visuals and gameplays can stick with people more or turn to memes which is free advertising,,
Skill Challenge,"Checking the user's reaction speed, a solution is needed here and now, but in two or three directions at once.","While the fake user is solving one problem, the second or third may already be on the surface and ready to be solved, but the user only turns to it later.",,https://ilans.org/sett_videos/anna0.mp4
Transformation,starting with intro where person or animal freezzing then taransition to gameplay with winter theme and you will win and change winter theme to something warm,"I think it will be interesting to see what wiil heppend next when you will see freezeeng intro (people always pay attention to something extreme with nature or something like that, especial women who is our audience)",,
Visual weirdness,"There is a visual transition between 2D and 3D, i.e. from the primary perspective from the gameplay and what we could see, to an unfamiliar perspective.","It becomes possible to show what was initially hidden in the gameplay, for example, what the game character is doing behind the screen while the user is solving a puzzle.",,https://ilans.org/sett_videos/anna0.mp4
Skill Challenge,Show An impossibly complex Build on a (Clash Of Clans or SpongeBob) type game. A village so complex that looks like years of gameplay has been put into it. Then Challange the viewer to get to this level.,Gives the viewers a look at how complex and how they can be burried and enjoy the game for a long time. Detaches these games from being a just a few minute indulgence to a very enjoyable and long term commitment. **Been playing Stardew valley and Enjoy that aspect of it.,,
Fail Moments,"shows player get beaten at the end, kicked away/launched out of scene ","keeps the video funny, showing that our player protagonist is just unlucky, helps giving some kind iconic structure to other videos",,https://ilans.org/sett_videos/anna0.mp4
Skill Challenge,Are you a PRO? Prove it!,Players are challenged and makes them think that the game is so easy they go and try it.,,
"Visual weirdness, Tension Building","First, give the camera focus on the danger, and then focus on how the character reacts to this danger, and then move on to the primary gameplay.",It is possible to play with the camera and the visual side of the whole video to make it more dynamic.,,https://ilans.org/sett_videos/anna0.mp4
Skill Challenge,Easy as 1...2....3... GO!,Players are challenged and has this Call To Action to GO and try the game.,,
Visual weirdness,Bowling video meme. There are a lot of videos on internet absurdizing animations you see when you hit something in bowling. They often parodize tragic moment from movies and historical events. ,They have engaging stories and they are recognizable.,https://youtube.com/shorts/pSS1jWffa8E?si=wvwyqAkMmH2d4y9Z https://youtu.be/iLiT9HXes6c?si=n0Ka1bKV242w9WsP,https://ilans.org/sett_videos/anna0.mp4
Immersion,How could You betray me? (A friend betrays hero),"User could feel betrayed to and connect himself to the plot in the video - That's unfair, villain suppose to be punished",,
"Tension Building, Skill Challenge","Competing with another ""fake player"" who is doing a little better than us and is about to solve the problem faster.","To create a competitive effect in the viewer, to give the ""fake player"" the opportunity to either win at the very last moment or lose, thereby making it clear that time and skill are important here.",,https://ilans.org/sett_videos/anna0.mp4
Social Connection,“My squad saved me at the last second!”,"Show team mechanics — clutch saves, epic boss fights with friends. Use player names, emotional VO (“Let’s go!”), chat bubbles, and emotes. End with: “Play with friends. Or make new ones.”",,
"Visual weirdness, Curiosity",Start a video with an interesting science fact and connect it to the following gameplay.,"Strong hook, raises interest.",https://youtube.com/shorts/-5AHcLjMono?si=3U_lN-FYkCuEaVjO,https://ilans.org/sett_videos/anna0.mp4
Visual weirdness,"References to popular culture, if permitted by law.","For example: Match Villians. Stylize the level for the second part of Harry Potter with snakes, maintaining minimalism, but recognizability. For example, torches, green tones, a face from which a snake crawls out.",,
Curiosity,The game is for you!,Personal touch - The person should pay attention and try to relate the game with themselves,,https://ilans.org/sett_videos/anna0.mp4
"Visual weirdness, Interactive Drama",Showcasing the game's normal gameplay through dramatic cinematics to convey the player's imagination.,"I saw such an ad in a Tower Defense game - clash of clans, I think. It looked interesting. It was a ""screen adaptation"" of how one arrow from one shot saved the whole game and led to victory.",,
